p_c,E_years,C,error_floor,A_thr_5pct,A_thr_10pct,A_thr_15pct,A_thr_20pct
1.0,0,Low,0.0,0.9240750750750751,0.8441551551551552,0.7602392392392393,0.6703293293293293
1.0,0,Moderate,0.0,0.9380610610610611,0.8741251251251252,0.8061931931931933,0.7352642642642643
1.0,0,High,0.0,0.9480510510510511,0.8941051051051051,0.8381611611611612,0.7792202202202203
1.0,2,Low,0.0,0.9220770770770771,0.8381611611611612,0.7492502502502503,0.6523473473473473
1.0,2,Moderate,0.0,0.9370620620620621,0.8701291291291292,0.8001991991991992,0.7252742742742743
1.0,2,High,0.0,0.9470520520520521,0.8911081081081081,0.8331661661661662,0.7732262262262263
1.0,10,Low,0.0,0.9090900900900901,0.8051941941941942,0.6863133133133134,0.5384614614614615
1.0,10,Moderate,0.0,0.9290700700700701,0.8511481481481482,0.7662332332332332,0.6703293293293293
1.0,10,High,0.0,0.9410580580580581,0.8791201201201202,0.8121871871871872,0.7402592592592593
0.95,0,Low,0.0164,0.9500490490490491,0.8731261261261262,0.7922072072072073,0.7052942942942944
0.95,0,Moderate,0.0089,0.9500490490490491,0.8871121121121122,0.8221771771771772,0.7532462462462463
0.95,0,High,0.0014,0.9500490490490491,0.8971021021021022,0.8421571571571572,0.7852142142142142
0.95,2,Low,0.0174,0.9500490490490491,0.8701291291291292,0.7852142142142142,0.6933063063063063
0.95,2,Moderate,0.0099,0.9500490490490491,0.8861131131131131,0.8171821821821822,0.7462532532532533
0.95,2,High,0.0024,0.9500490490490491,0.8961031031031031,0.8391601601601602,0.7802192192192192
0.95,10,Low,0.0214,0.9500490490490491,0.8561431431431432,0.7492502502502503,0.6233763763763764
0.95,10,Moderate,0.0139,0.9500490490490491,0.8771221221221221,0.7972022022022023,0.7082912912912913
0.95,10,High,0.0064,0.9500490490490491,0.8901091091091091,0.8261731731731732,0.7562432432432433
0.9,0,Low,0.0328,0.9750240240240241,0.9000990990990991,0.8221771771771772,0.7392602602602603
0.9,0,Moderate,0.0178,0.9620370370370371,0.9000990990990991,0.8361631631631632,0.7692302302302303
0.9,0,High,0.0028,0.9530460460460461,0.9000990990990991,0.8461531531531532,0.7902092092092092
0.9,2,Low,0.0348,0.9780210210210211,0.9000990990990991,0.8191801801801802,0.7312682682682683
0.9,2,Moderate,0.0198,0.9640350350350351,0.9000990990990991,0.8341651651651653,0.7652342342342343
0.9,2,High,0.0048,0.9540450450450451,0.9000990990990991,0.8451541541541542,0.7872122122122123
0.9,10,Low,0.0428,0.9880110110110111,0.9000990990990991,0.8031961961961962,0.6913083083083084
0.9,10,Moderate,0.0278,0.9710280280280281,0.9000990990990991,0.8251741741741743,0.7422572572572573
0.9,10,High,0.0128,0.9590400400400401,0.9000990990990991,0.8381611611611612,0.7722272272272273
0.85,0,Low,0.0492,0.999,0.9270720720720721,0.8501491491491492,0.7702292292292293
0.85,0,Moderate,0.0267,0.9730260260260261,0.9130860860860861,0.8501491491491492,0.7852142142142142
0.85,0,High,0.0042,0.9550440440440441,0.9030960960960961,0.8501491491491492,0.7952042042042042
0.85,2,Low,0.0522,,0.9290700700700701,0.8501491491491492,0.7672322322322322
0.85,2,Moderate,0.0297,0.976023023023023,0.9150840840840841,0.8501491491491492,0.7832162162162163
0.85,2,High,0.0072,0.9570420420420421,0.9050940940940941,0.8501491491491492,0.7942052052052052
0.85,10,Low,0.0642,,0.9410580580580581,0.8501491491491492,0.7502492492492493
0.85,10,Moderate,0.0417,0.990009009009009,0.9220770770770771,0.8501491491491492,0.7722272272272273
0.85,10,High,0.0192,0.967032032032032,0.9100890890890891,0.8501491491491492,0.7872122122122123
0.8,0,Low,0.0656,,0.9520470470470471,0.8781211211211212,0.8001991991991992
0.8,0,Moderate,0.0356,0.9840150150150151,0.9250740740740742,0.8641351351351352,0.8001991991991992
0.8,0,High,0.0056,0.9570420420420421,0.9060930930930932,0.8541451451451452,0.8001991991991992
0.8,2,Low,0.0696,,0.9560430430430431,0.8801191191191192,0.8001991991991992
0.8,2,Moderate,0.0396,0.9880110110110111,0.9280710710710711,0.8661331331331332,0.8001991991991992
0.8,2,High,0.0096,0.9600390390390391,0.9090900900900901,0.8561431431431432,0.8001991991991992
0.8,10,Low,0.0856,,0.9780210210210211,0.8931061061061062,0.8001991991991992
0.8,10,Moderate,0.0556,,0.9430560560560561,0.8741251251251252,0.8001991991991992
0.8,10,High,0.0256,0.9750240240240241,0.9200790790790792,0.8621371371371371,0.8001991991991992
0.7,0,Low,0.0985,,0.9980010010010011,0.9290700700700701,0.8561431431431432
0.7,0,Moderate,0.0535,,0.9480510510510511,0.8891101101101102,0.8291701701701703
0.7,0,High,0.0085,0.9610380380380381,0.9120870870870871,0.8621371371371371,0.8101891891891893
0.7,2,Low,0.1045,,,0.9360630630630631,0.8611381381381382
0.7,2,Moderate,0.0595,,0.9540450450450451,0.8941051051051051,0.8331661661661662
0.7,2,High,0.0145,0.9660330330330331,0.9170820820820821,0.8651341341341342,0.8121871871871872
0.7,10,Low,0.1285,,,0.967032032032032,0.8861131131131131
0.7,10,Moderate,0.0835,,0.9800190190190191,0.9170820820820821,0.8501491491491492
0.7,10,High,0.0385,0.9890100100100101,0.9370620620620621,0.8821171171171172,0.8251741741741743
0.6,0,Low,0.1313,,,0.9750240240240241,0.9070920920920922
0.6,0,Moderate,0.0713,,0.9690300300300301,0.9130860860860861,0.8551441441441442
0.6,0,High,0.0113,0.9650340340340341,0.9170820820820821,0.8691301301301302,0.8181811811811812
0.6,2,Low,0.1393,,,0.986013013013013,0.9160830830830832
0.6,2,Moderate,0.0793,,0.9780210210210211,0.9210780780780782,0.8621371371371371
0.6,2,High,0.0193,0.972027027027027,0.9240750750750751,0.8751241241241242,0.8241751751751752
0.6,10,Low,0.1713,,,,0.958041041041041
0.6,10,Moderate,0.1113,,,0.9550440440440441,0.8931061061061062
0.6,10,High,0.0513,,0.9520470470470471,0.9010980980980982,0.8471521521521522
